Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
What is 15 + 27?,40,42,44,46,42
What is 12 × 8?,86,96,88,98,96
What is 144 ÷ 12?,10,11,12,13,12
What is 25% of 200?,25,40,50,75,50
"What comes next: 2, 4, 8, 16, ?",24,30,32,36,32
What is the square of 9?,72,81,90,99,81
A train travels 60 km in 1 hour. Distance in 3 hours?,120,150,180,200,180
What is 7 × 7?,42,48,49,56,49
What is 100 - 37?,53,63,73,83,63
What is the cube of 3?,9,18,27,36,27
"If 5 pens cost ₹50, cost of 1 pen?",5,10,15,20,10
What is 18 + 24?,40,42,44,46,42
"Find the missing number: 3, 6, 9, 12, ?",14,15,16,18,15
What is 20% of 150?,25,30,35,40,30
What is 11 × 11?,111,121,131,141,121
A rectangle has length 8 and width 5. Area?,40,30,35,45,40
What is 90 ÷ 9?,8,9,10,11,10
"Find the odd one out: 2, 4, 6, 9",2,4,6,9,9
What is 13 + 19?,30,31,32,33,32
What is 50% of 80?,30,35,40,45,40
What is 14 × 6?,74,84,94,104,84
"What comes next: A, C, E, G, ?",H,I,J,K,I
What is 121 ÷ 11?,9,10,11,12,11
"If a book costs ₹120 and discount is ₹20, final price?",80,90,100,110,100
What is 17 + 18?,33,34,35,36,35
What is 9 × 12?,98,108,118,128,108
"Find the missing number: 5, 10, 20, 40, ?",60,70,80,90,80
What is 30% of 300?,60,70,80,90,90
What is 16²?,246,256,266,276,256
What is 200 ÷ 4?,40,45,50,55,50
